"chain_id"	"category_id"
1192	14
1196	14
1198	14
201	15
203	15
488	15
498	15
627	15
819	15
821	15
839	15
881	15
914	15
1002	15
1041	15
1073	15
1110	15
1204	15
201	16
722	16
1098	16
1204	16
926	17
158	19
164	19
167	19
171	19
219	19
778	19
968	19
1056	19
13	20
15	20
18	20
26	20
73	20
74	20
77	20
97	20
98	20
108	20
115	20
175	20
206	20
214	20
352	20
360	20
390	20
410	20
453	20
502	20
512	20
690	20
712	20
764	20
773	20
799	20
883	20
901	20
909	20
1066	20
1071	20
1078	20
1079	20
1102	20
1132	20
1137	20
1153	20
1190	20
1193	20
30	21
88	21
124	21
142	21
149	21
181	21
225	21
228	21
349	21
448	21
461	21
466	21
476	21
543	21
548	21
553	21
558	21
615	21
631	21
1065	21
1086	21
1148	21
1150	21
20	22
203	22
384	22
526	22
109	23
113	23
118	23
119	23
136	23
148	23
157	23
164	23
167	23
171	23
174	23
194	23
221	23
232	23
234	23
236	23
349	23
361	23
448	23
454	23
460	23
463	23
464	23
479	23
485	23
489	23
494	23
538	23
547	23
578	23
588	23
589	23
636	23
664	23
674	23
675	23
691	23
775	23
790	23
840	23
862	23
905	23
941	23
1011	23
1031	23
1055	23
1065	23
1096	23
1122	23
1129	23
1133	23
1144	23
1145	23
1147	23
1150	23
1157	23
1158	23
1163	23
1168	23
1173	23
1180	23
1185	23
1187	23
1197	23
1201	23
10	24
11	24
24	24
42	24
47	24
54	24
55	24
56	24
57	24
58	24
79	24
107	24
144	24
161	24
164	24
167	24
174	24
181	24
219	24
224	24
232	24
234	24
236	24
238	24
391	24
454	24
455	24
460	24
536	24
544	24
545	24
549	24
554	24
556	24
562	24
580	24
608	24
636	24
649	24
666	24
714	24
735	24
737	24
738	24
761	24
762	24
783	24
796	24
812	24
820	24
838	24
870	24
889	24
916	24
932	24
943	24
949	24
984	24
988	24
1090	24
1108	24
1201	24
3	25
32	25
49	25
51	25
128	25
157	25
218	25
241	25
372	25
401	25
429	25
443	25
454	25
467	25
469	25
499	25
501	25
504	25
625	25
635	25
638	25
726	25
817	25
892	25
906	25
935	25
996	25
1019	25
1134	25
226	26
240	26
919	26
938	26
998	26
1048	26
1063	27
34	28
38	28
40	28
41	28
45	28
205	28
750	28
776	28
863	28
904	28
233	29
606	29
679	29
741	29
758	29
774	29
